id,value,rate,,,rate1,,
BoxOffice.2013.Comedy,677996958,1.8,,,7.025,2.825,12.7125
BoxOffice.2013.Crime,150368971,1.8,,,7,2.8,12.6
BoxOffice.2013.Drama,274084951,2.4,,,7.8,3.6,16.2
BoxOffice.2013.Family,234903076,1.2,,,6.4,2.2,9.9
BoxOffice.2013.Fantasy,258355354,2.4,,,7.9,3.7,16.65
BoxOffice.2014.Action,2937880772,1.8,,,7.241666667,3.041666667,13.6875
BoxOffice.2014.Adventure,3176344663,1.8,,,7.425,3.225,14.5125
BoxOffice.2014.Biography,350123553,1.8,,,7.3,3.1,13.95
BoxOffice.2014.Comedy,191616238,1.8,,,7.1,2.9,13.05
BoxOffice.2014.Drama,187991439,3,,,8.6,4.4,19.8
BoxOffice.2014.Fantasy,255108370,2.4,,,7.5,3.3,14.85
BoxOffice.2014.Sci-Fi,337103873,1.8,,,6.7,2.5,11.25
BoxOffice.2015.Action,2372499223,1.8,,,7.1,2.9,13.05
BoxOffice.2015.Adventure,2913966568,1.8,,,7.39,3.19,14.355
BoxOffice.2015.Animation,1039520174,1.8,,,6.916666667,2.716666667,12.225
BoxOffice.2015.Comedy,353128952,1.8,,,6.6,2.4,10.8
BoxOffice.2015.Crime,350034110,1.8,,,7.2,3,13.5
BoxOffice.2015.Drama,613215074,2.4,,,7.55,3.35,15.075
BoxOffice.2015.Family,201148159,1.8,,,7,2.8,12.6
BoxOffice.2015.Music,183436380,1.8,,,6.5,2.3,10.35
BoxOffice.2015.Sci-Fi,281666058,1.8,,,6.6,2.4,10.8
BoxOffice.1996.Action.Eraser,101228120,1.2,,,6.1,1.9,8.55
BoxOffice.1996.Action.Independence Day,306124059,1.8,,,6.9,2.7,12.15
BoxOffice.1996.Action.Mission: Impossible,180965237,1.8,,,7.1,2.9,13.05
BoxOffice.1996.Action.Star Trek: First Contact,92001027,2.4,,,7.6,3.4,15.3
BoxOffice.1996.Action.The Rock,134006721,1.8,,,7.4,3.2,14.4
BoxOffice.1996.Action.Twister,241688385,1.2,,,6.3,2.1,9.45
BoxOffice.1996.Adventure.Independence Day,306124059,1.8,,,6.9,2.7,12.15
BoxOffice.1996.Adventure.Mission: Impossible,180965237,1.8,,,7.1,2.9,13.05
BoxOffice.1996.Adventure.Space Jam,90443603,1.2,,,6.3,2.1,9.45
BoxOffice.1996.Adventure.Star Trek: First Contact,92001027,2.4,,,7.6,3.4,15.3
BoxOffice.1996.Adventure.The Rock,134006721,1.8,,,7.4,3.2,14.4
BoxOffice.1996.Adventure.Twister,241688385,1.2,,,6.3,2.1,9.45
BoxOffice.1996.Animation.Space Jam,90443603,1.2,,,6.3,2.1,9.45
BoxOffice.1996.Animation.The Hunchback of Notre Dame,100117603,1.8,,,6.9,2.7,12.15
BoxOffice.1996.Comedy.Jerry Maguire,153620822,1.8,,,7.3,3.1,13.95
BoxOffice.1996.Comedy.The Nutty Professor,128769345,1.2,,,5.6,1.4,6.3
BoxOffice.1996.Crime.A Time to Kill,108706165,1.8,,,7.4,3.2,14.4
BoxOffice.1996.Crime.Ransom,136448821,1.8,,,6.6,2.4,10.8
BoxOffice.1996.Drama.A Time to Kill,108706165,1.8,,,7.4,3.2,14.4
BoxOffice.1996.Drama.Eraser,101228120,1.2,,,6.1,1.9,8.55
BoxOffice.1996.Drama.Jerry Maguire,153620822,1.8,,,7.3,3.1,13.95
BoxOffice.1996.Drama.Phenomenon,104632573,1.2,,,6.4,2.2,9.9
BoxOffice.1996.Drama.The Hunchback of Notre Dame,100117603,1.8,,,6.9,2.7,12.15
BoxOffice.1996.Fantasy.Phenomenon,104632573,1.2,,,6.4,2.2,9.9
BoxOffice.1996.Horror.Scream,103001286,1.8,,,7.2,3,13.5
BoxOffice.1996.Mystery.Scream,103001286,1.8,,,7.2,3,13.5
BoxOffice.1996.Romance.The Nutty Professor,128769345,1.2,,,5.6,1.4,6.3
BoxOffice.1996.Thriller.Ransom,136448821,1.8,,,6.6,2.4,10.8
BoxOffice.1997.Action.Air Force One,172620724,1.2,,,6.4,2.2,9.9
BoxOffice.1997.Action.Con Air,101087161,1.8,,,6.8,2.6,11.7
BoxOffice.1997.Action.Face/Off,112225777,1.8,,,7.3,3.1,13.95
BoxOffice.1997.Action.George of the Jungle,105263257,0.6,,,5.4,1.2,5.4
BoxOffice.1997.Action.The Lost World: Jurassic Park,229074524,1.8,,,6.5,2.3,10.35
BoxOffice.1997.Adventure.Air Force One,172620724,1.2,,,6.4,2.2,9.9
BoxOffice.1997.Adventure.George of the Jungle,105263257,0.6,,,5.4,1.2,5.4
BoxOffice.1997.Adventure.Men in Black,250147615,1.8,,,7.3,3.1,13.95
BoxOffice.1997.Adventure.The Lost World: Jurassic Park,229074524,1.8,,,6.5,2.3,10.35
BoxOffice.1997.Comedy.As Good as It Gets,147637474,2.4,,,7.7,3.5,15.75
BoxOffice.1997.Comedy.Liar Liar,181395380,1.8,,,6.8,2.6,11.7
BoxOffice.1997.Comedy.Men in Black,250147615,1.8,,,7.3,3.1,13.95
BoxOffice.1997.Comedy.My Best Friend's Wedding,126805112,1.2,,,6.3,2.1,9.45
BoxOffice.1997.Crime.Con Air,101087161,1.8,,,6.8,2.6,11.7
BoxOffice.1997.Crime.Face/Off,112225777,1.8,,,7.3,3.1,13.95
BoxOffice.1997.Drama.As Good as It Gets,147637474,2.4,,,7.7,3.5,15.75
BoxOffice.1997.Drama.Contact,100853835,1.8,,,7.4,3.2,14.4
BoxOffice.1997.Drama.Titanic,658672302,2.4,,,7.7,3.5,15.75
BoxOffice.1997.Fantasy.Liar Liar,181395380,1.8,,,6.8,2.6,11.7
BoxOffice.1997.Horror.Scream 2,101334374,1.2,,,6.1,1.9,8.55
BoxOffice.1997.Mystery.Contact,100853835,1.8,,,7.4,3.2,14.4
BoxOffice.1997.Mystery.Scream 2,101334374,1.2,,,6.1,1.9,8.55
BoxOffice.1997.Romance.My Best Friend's Wedding,126805112,1.2,,,6.3,2.1,9.45
BoxOffice.1997.Romance.Titanic,658672302,2.4,,,7.7,3.5,15.75
BoxOffice.1998.Action.Armageddon,201573391,1.8,,,6.6,2.4,10.8
BoxOffice.1998.Action.Deep Impact,140459099,1.2,,,6.1,1.9,8.55
